ample_index,ros_time_s,unix_time_s,sensor_0_mm,sensor_1_mm,sensor_2_mm,sensor_3_mm,sensor_4_mm,sensor_5_mm,sensor_6_mm,sensor_7_mm,odin_frame_id,odin_stamp_s,odin_x_m,odin_y_m,odin_z_m,odin_qx,odin_qy,odin_qz,odin_qw,odin_yaw_rad,odin_pose_age_s
1,1783271991.7498636,1783271991.7499316,36.0,6095.0,46.0,151.0,46.0,294.0,23.0,nan,map,18428.034903834,0.5220511929954424,0.596655375340947,0.021693422824506772,0.013901332302883674,-0.009092848035572941,0.7117251133168222,0.7022616578946649,1.58407439019125,0.009517431259155273
2,1783272001.66464,1783272001.6646879,37.0,6107.0,44.0,619.0,47.0,313.0,17.0,3344.0,map,18437.948026955,0.9958670803036801,0.6209450530654145,0.021211748631703182,0.01696344833481265,-0.004936944143215361,0.7276729306626635,0.685696706995104,1.6299245564890423,0.0037140846252441406
3,1783272007.9322517,1783272007.9322903,38.0,5499.0,45.0,671.0,47.0,377.0,13.0,2039.0,map,18444.239252837,0.9971211092330307,0.6241845460243395,0.020384673517516806,0.019826513374034124,-0.001710331051280357,0.8317100989451363,0.5548533999605625,1.964620555863437,0.002064943313598633
4,1783272015.0931118,1783272015.0931559,38.0,831.0,45.0,666.0,47.0,316.0,21.0,4506.0,map,18451.377521721,1.0041161698622174,0.6058092949662541,0.02074486936021234,0.015099209467500546,-0.008183473049696884,0.6193136743131898,0.784955806049613,1.3357550377808811,0.0031061172485351562
5,1783272022.6517472,1783272022.6517816,40.0,5872.0,45.0,584.0,46.0,513.0,13.0,3369.0,map,18458.960685358,0.9628911215864235,0.8160013975347409,0.01847100205500736,0.018168409371429772,-0.006536754221561153,0.7089824927299497,0.7049617044546361,1.5761974664906053,0.0018353462219238281
6,1783272027.6653259,1783272027.6654027,46.0,2038.0,46.0,591.0,47.0,545.0,12.0,1971.0,map,18463.949945609,0.9577860806209866,0.8256796857524813,0.019476114350265698,0.019704293631170926,-0.0039100448262851,0.7847068083275898,0.6195415057332966,1.8046298389774793,0.005200386047363281
7,1783272033.8397188,1783272033.8397667,46.0,2343.0,46.0,613.0,45.0,525.0,15.0,5106.0,map,18470.133149897,0.9583733388591684,0.8125900022351341,0.01933950814992698,0.0161494600354037,-0.008651330339017996,0.6315414280426382,0.7751256505172535,1.3671140999838145,0.009465694427490234
8,1783272046.0190117,1783272046.0190408,44.0,5505.0,45.0,496.0,46.0,868.0,13.0,2010.0,map,18482.303417245,0.8649246517955107,1.169318334508497,0.016572823347705254,0.017102945452069192,-0.006484059702265609,0.7084720448062126,0.7055018128642513,1.574747902150997,0.008395671844482422
9,1783272054.0014534,1783272054.0015008,42.0,4709.0,45.0,498.0,47.0,908.0,14.0,2065.0,map,18490.271183712,0.8614093684973019,1.175005716368457,0.01703829802700672,0.018559887634009252,-0.004141996884746125,0.7864569231238039,0.6173523163506061,1.8102819174207985,0.0010895729064941406
10,1783272065.473263,1783272065.4733024,40.0,5534.0,49.0,872.0,45.0,865.0,20.0,1622.0,map,18501.772992535,1.2494054176979952,1.1787515346876924,0.015342207319254345,0.016506924325209612,-0.006116493064500919,0.7223800238960911,0.6912721685687891,1.6145737710990717,0.002979278564453125
11,1783272073.1492963,1783272073.149362,40.0,5794.0,45.0,839.0,44.0,604.0,12.0,3043.0,map,18509.45167064,1.2145429937899346,0.9193709179696581,0.019762348126775336,0.017215623430209773,-0.007349172354841955,0.7165573681158292,0.6972769537095889,1.5978330529855829,0.009163141250610352
12,1783272077.558231,1783272077.5582762,38.0,6042.0,46.0,797.0,48.0,349.0,18.0,3238.0,map,18513.860349291,1.1762651009068024,0.6635021269315245,0.020480136940766655,0.01687172436828686,-0.006672852054682361,0.7228344171088583,0.690783050896006,1.615905343129044,0.008250236511230469
13,1783272081.6458454,1783272081.6459012,41.0,6172.0,43.0,784.0,48.0,214.0,17.0,3348.0,map,18517.95233041,1.165286241923292,0.5358912095915734,0.022843459898122344,0.01622914376127852,-0.005788937369007062,0.7263652644259253,0.6870928654355022,1.6261320823404528,0.005006313323974609
14,1783272092.1126444,1783272092.1126654,41.0,6274.0,46.0,766.0,47.0,114.0,19.0,3373.0,map,18528.385885542,1.1490968376282362,0.43468417692984673,0.023858615858302734,0.016157293744368233,-0.005612748272707307,0.7312177610678867,0.681929633330707,1.6403081223838232,0.0025238990783691406
15,1783272097.3663116,1783272097.366373,41.0,6697.0,44.0,774.0,46.0,123.0,21.0,3121.0,map,18533.646657237,1.1497746198521173,0.4350661816568018,0.0240241309432722,0.017016269678381463,-0.004044213613451584,0.761846919583791,0.6475209355867731,1.73243156177925,0.006287336349487305
16,1783272101.2341964,1783272101.2342403,38.0,1948.0,47.0,820.0,47.0,114.0,21.0,4263.0,map,18537.54259367,1.148763550951018,0.4240814977600239,0.02397063523063639,0.013601682732564645,-0.008072886518243472,0.6193468762055028,0.7849581324278333,1.3358507915626399,0.004079103469848633
17,1783272123.3763576,1783272123.3763943,38.0,6219.0,45.0,207.0,47.0,175.0,20.0,nan,map,18559.671617144,0.566053033143523,0.48230650882150594,0.023826729346942632,0.01461190700702063,-0.008426455427529409,0.7153256271589554,0.6985876710565346,1.5943345860490452,0.006294965744018555
18,1783272128.9466002,1783272128.9466805,41.0,5292.0,46.0,205.0,47.0,185.0,19.0,3494.0,map,18565.226434327,0.5670922562606351,0.4836039443759522,0.023489610309000396,0.015702014963816097,-0.0066361675100950175,0.7622657137238078,0.6470397126050209,1.7337890366279263,0.006701946258544922
19,1783272137.764958,1783272137.7650194,43.0,6008.0,46.0,156.0,47.0,378.0,23.0,3658.0,map,18574.074023633,0.5169103621201269,0.6791424208553686,0.021453246756664875,0.015141188285434844,-0.00892476677150167,0.7187514622382316,0.6950449111286141,1.6041886622932704,0.005133628845214844
20,1783272144.1122217,1783272144.1123428,40.0,5110.0,47.0,150.0,46.0,392.0,20.0,2388.0,map,18580.423181979,0.5125158206688598,0.6831721746854817,0.021647600722274896,0.015982142421695097,-0.007501988781366137,0.76548499867099,0.6432114800729317,1.7438054794175366,0.001859426498413086
21,1783272152.306203,1783272152.3062513,43.0,5733.0,41.0,185.0,46.0,656.0,16.0,5054.0,map,18588.614813802,0.539131442263871,0.9601580497603747,0.019999766894103314,0.01572531198538784,-0.009094714913399337,0.7160801452983365,0.6977816465292846,1.5965220939450933,0.005063295364379883
22,1783272169.0916295,1783272169.0917017,37.0,7098.0,48.0,297.0,44.0,210.0,17.0,3836.0,map,18605.38753532,0.6712883870875341,0.5191475501513839,0.02447776509240019,0.016011720692526626,-0.007308492243681359,0.7293098832738213,0.6839570928798925,1.634768156877637,0.0010972023010253906
23,1783272173.5972369,1783272173.597367,40.0,5301.0,44.0,324.0,47.0,224.0,19.0,2909.0,map,18609.869162062,0.6816016007630255,0.520858096604739,0.02395346919691861,0.01711909785725012,-0.006113011647555164,0.7678197695987029,0.6404079707425145,1.7510442732190732,0.005757808685302734
24,1783272179.54218,1783272179.5422356,38.0,7124.0,45.0,525.0,45.0,210.0,15.0,5086.0,map,18615.816181202,0.8830394802166632,0.516679829491826,0.022024356451901865,0.015668863499967448,-0.007414511370518061,0.6627386771713853,0.7486500901748947,1.4489886719295244,0.0020020008087158203
25,1783272186.3001137,1783272186.3001666,42.0,7443.0,45.0,627.0,47.0,130.0,20.0,4632.0,map,18622.587682757,0.9966711400645805,0.43957644621636927,0.023139620525509944,0.017324958215456536,-0.004285962152811236,0.7485470578869736,0.6628414429409291,1.691834153859513,0.009372472763061523
26,1783272224.1249957,1783272224.1250365,42.0,6300.0,45.0,700.0,48.0,80.0,18.0,nan,map,18660.43656056,1.0739868167385938,0.3927155749728152,0.023148106134190063,0.01586340082253084,-0.005443043880846881,0.7140589942838139,0.6998846179693072,1.590626463191143,0.005085468292236328
27,1783272226.3270128,1783272226.3270826,42.0,5614.0,45.0,697.0,48.0,80.0,17.0,nan,map,18662.608322278,1.0737077000243884,0.39300968188452046,0.023696178021709903,0.015843524573946787,-0.005479586484624952,0.714072735432523,0.6998707633363078,1.590666549958554,0.006829023361206055
28,1783272227.909219,1783272227.9092596,40.0,5730.0,46.0,700.0,48.0,82.0,18.0,nan,map,18664.204366939,1.0741238859176343,0.3929050464963245,0.02365056920496196,0.01575936284768508,-0.005481180266305178,0.7140283063758233,0.6999179786514965,1.5905395323439104,0.009571075439453125
29,1783272229.2903087,1783272229.290329,42.0,6303.0,45.0,700.0,48.0,80.0,17.0,nan,map,18665.606931413,1.0734091989680805,0.3931037960769549,0.02312047741985715,0.015744821712853296,-0.005423440046823915,0.714068456786014,0.699877793554367,1.590652963998937,0.0003325939178466797
30,1783272231.5693152,1783272231.5693724,42.0,6302.0,45.0,700.0,48.0,82.0,18.0,nan,map,18667.869130432,1.072942469515247,0.3931443086486234,0.023164212615936004,0.015786506133491304,-0.005413732181362997,0.7141342669922882,0.6998097787508781,1.5908408851599043,0.00939798355102539
